5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01
5.409589416298036246e-01,5.058319207863919420e-01,5.050927377466283286e-01,5.093651793507097958e-01
5.613498603761726269e-01,5.152038836725006954e-01,5.079744349093131550e-01,5.126956643879545528e-01
5.754026891595147575e-01,5.189071709872599136e-01,5.109827259155160784e-01,5.176432037444557155e-01
5.860819058809817461e-01,5.217832311102614806e-01,5.128997245542448180e-01,5.186634127174925002e-01
5.946235427833554965e-01,5.305329352639395202e-01,5.158438146496985288e-01,5.214377739452710214e-01
6.016775856998710648e-01,5.329130977661823421e-01,5.230805135055809352e-01,5.244607789967402622e-01
6.076327589178643906e-01,5.351125849434944515e-01,5.251421070796506996e-01,5.260235105484847296e-01
6.127418165934024330e-01,5.398357192773930446e-01,5.286763537687905190e-01,5.278988746791275499e-01
6.171791391200820431e-01,5.425818270581995728e-01,5.304614020324432966e-01,5.347506980636976825e-01
6.210704982590694589e-01,5.487432889923750112e-01,5.371128385932610882e-01,5.371023469164309949e-01
6.245097994873836100e-01,5.502528144722131920e-01,5.393272699015523308e-01,5.439273876812718012e-01
6.275691275233326039e-01,5.530137678578952443e-01,5.486591114354718579e-01,5.447526605042281034e-01
6.303050894583226427e-01,5.539813883602029421e-01,5.501402597990051602e-01,5.489886476835871276e-01
6.327629897208446597e-01,5.562230490047322951e-01,5.526193991937222716e-01,5.505585163806604454e-01
6.349796742642345171e-01,5.577317262968576328e-01,5.548136625217636730e-01,5.517537684422365585e-01
6.369855253452707533e-01,5.590264820387410571e-01,5.561541207181786017e-01,5.569339182462960114e-01
6.388058958594129422e-01,5.622791334978874955e-01,5.588560107534975563e-01,5.578765834786280076e-01
6.404621632082631022e-01,5.634762296002370219e-01,5.613841275917338391e-01,5.589862277748851582e-01
6.419725184060461887e-01,5.653587087853889637e-01,5.627656133728646815e-01,5.595490022141272890e-01
6.433525668977591039e-01,5.661144418248783561e-01,5.639308350746713439e-01,5.615417326510429019e-01
6.446157928743505572e-01,5.675875095006658322e-01,5.653521073598590796e-01,5.657819213840348249e-01
6.457739229166205019e-01,5.712891547633847100e-01,5.663620833480446093e-01,5.672468760910486241e-01
6.468372142424970717e-01,5.728356679123911555e-01,5.704957806108610363e-01,5.692758705929344965e-01
6.478146856968824974e-01,5.734851321207430352e-01,5.715470766829794380e-01,5.705002591631813669e-01
6.487143047073959945e-01,5.773228847938637331e-01,5.745228043030653486e-01,5.723606123588101946e-01
